"Check","Status","Details"
"Canonical input files","PASS","Canonical simulated object and audit summary are present."
"Simulated-data audit prerequisite","PASS","0 blocking check(s) in simulated-data audit."
"Canonical object components","PASS","Required components present: metadata, phenotype, true_genetic_value, genotype_m101"
"Individual universe","PASS","Expected 1000 unique row identifiers aligned with phenotype, true genetic value, and genotype matrices."
"Outer assignment row count","PASS","Observed rows: 5000 ; expected: 5000"
"One outer assignment per ID and repetition","PASS","Each individual must occur exactly once in every repetition."
"Balanced outer folds","PASS","Every outer split must contain 800 analysis and 200 assessment individuals."
"Distinct outer repetitions","PASS","All 5 repetitions should use distinct fold assignments."
"Outer assessment frequency","PASS","Every individual is assigned to one assessment fold per repetition and therefore appears in exactly 5 outer assessment sets."
"Outer split integrity","PASS","25 outer split objects checked for size, disjointness, and complete coverage."
"Inner assignment row count","PASS","Observed rows: 20000 ; expected: 20000"
"Balanced inner folds","PASS","Every inner split must contain 600 analysis and 200 assessment individuals."
"Inner assignment integrity","PASS","Inner assignments are restricted to the corresponding outer analysis set."
"Inner split integrity","PASS","100 inner splits checked for size, disjointness, and complete outer-analysis coverage."
"Scenario-independent partitions","PASS","Partitions are generated from canonical individual IDs and deterministic seeds only; the same folds are reused for C1-C6 and all models."
"True genetic value excluded from partitioning","PASS","True simulated genetic values are stored in the canonical data object for final evaluation only and are not referenced when generating folds."
"Phenotype excluded from partitioning","PASS","Phenotypes are not used to construct folds. They may be used later inside training data and inner-CV tuning, never to redefine partitions."
