"Check","Status","Details"
"Simulation-control key formatting","WARNING","The source control file contains internal whitespace in the C1 Scale key (Escal<tab>a). Key whitespace was normalized for parsing; the stored numeric value was not altered."
"Nominal versus realized heritability","WARNING","Absolute differences: 0.0078, 0.0684, 0.0449, 2e-04, 6e-04, 0.0034 . Differences are documented rather than used to redefine the scenarios."
"CV metadata versus empirical phenotype CV","WARNING","The simulator reports CV metadata = 12 for all scenarios; empirical phenotype CV values are reported separately. The metadata field is therefore not interpreted automatically as the empirical coefficient of variation."
"Long-distance LD behavior","WARNING","Mean r2 at 50, 100, and 200 cM: 0.1327, 0.124, 0.1007 ; interchromosomal mean r2: 0.00102 . LD declines strongly up to 50 cM but remains elevated at 100-200 cM relative to the interchromosomal reference. This is documented as a property requiring interpretation of the simulator's long-distance recombination behavior, not as evidence of data corruption."
"Expected files","PASS","All 8 expected files are present."
"Core dimensions","PASS","Expected phenotype and genetic-value matrices: 1000 x 6; expected genotype matrices: 1000 x 4010."
"Finite phenotype and genetic values","PASS","All phenotypic and true genetic values are finite."
"Genotype codes 0/1/2","PASS","Observed codes: 0, 1, 2"
"Genotype codes 11/12/22","PASS","Observed codes: 11, 12, 22"
"Equivalence of genotype files","PASS","Checked mapping 11 -> 2, 12 -> 1, and 22 -> 0 after orienting both matrices as individuals x markers."
"Canonical -1/0/1 coding","PASS","Canonical coding is genotype_012 - 1."
"Genetic map structure","PASS","Expected 10 linkage groups, 401 markers per group, 200 cM per group, and 0.5 cM marker spacing."
"Unique map marker names","PASS","0 duplicated marker names detected."
"Simulation scenario metadata","PASS","Six scenarios expected with QTL counts 8, 40, 80, 120, 240, and 480 and nominal heritabilities 0.7, 0.7, 0.5, 0.5, 0.3, and 0.3."
"QTL-list lengths","PASS","Observed QTL-list lengths: 8, 40, 80, 120, 240, 480"
"QTL indices within map","PASS","All QTL indices must lie between 1 and 4010."
"Unique QTL within scenario","PASS","No duplicated QTL index is expected within a simulation scenario."
"QTL distribution across linkage groups","PASS","The simulation design places QTL evenly across LG1-LG8; LG9 and LG10 contain no selected QTL."
"Row-order contract","PASS","Phenotype, true genetic-value, and genotype matrices contain the same 1000 rows. Because the simulation files do not provide explicit individual IDs, row position is adopted as the canonical individual identifier; independent identity verification is not available."
"Phenotype-genetic signal","PASS","Phenotype-true genetic correlations: 0.8377, 0.8727, 0.731, 0.7237, 0.5275, 0.5314"
"Missing genotypes","PASS","0 missing genotype cells."
"Duplicate individuals","PASS","0 duplicate genotype profiles."
"Duplicate markers","PASS","0 duplicate marker profiles."
"Monomorphic markers","PASS","0 monomorphic markers."
"Overall F2 genotype frequencies","PASS","Observed proportions: 0.25007, 0.49994, 0.24999"
"Minor allele frequency","PASS","MAF range: 0.4690 to 0.5000; median 0.4925."
"Parental file dimensions","PASS","Expected 20 rows: two parents x 10 linkage groups, with 401 marker states per linkage group."
"Parental genotype contrast","PASS","Parent 1 is fixed for state 1 and parent 2 is fixed for state 0 across all markers."
"Parental linkage-group structure","PASS","Each of the 10 linkage groups is represented for both parents."
"map.rds readability","PASS","Object successfully read; class: data.frame"
"map.rds row count","PASS","Observed rows: 4010 ; text-map markers: 4010"
"Short-to-medium distance LD decay","PASS","Mean r2 at 0.5, 10, and 50 cM: 0.9802, 0.6696, 0.1327 ; interchromosomal mean r2: 0.00102"
