"Check","Status","Details"
"Primary matrix dimensions","PASS","Expected: phenotype 1000 x 6, true genetic values 1000 x 6, genotype 1000 x 4010."
"Finite phenotype and true genetic values","PASS","Phenotypic and true genetic values must be finite."
"Genotype coding 0/1/2","PASS","Observed: 0, 1, 2"
"Analysis genotype coding -1/0/1","PASS","Observed: -1, 0, 1"
"Genetic map structure","PASS","Expected: 10 linkage groups, 401 markers per group, 0-200 cM."
"Simulation scenario parameters","PASS","Expected QTL counts: 8, 40, 80, 120, 240, 480; nominal H2: 0.7, 0.7, 0.5, 0.5, 0.3, 0.3; Model = 2."
"QTL indices within genetic map","PASS","All QTL indices must correspond to marker positions."
"LG9 and LG10 without simulated QTL","PASS","LG9 and LG10 were intentionally simulated without QTL."
"Row alignment","PASS","Phenotype, true genetic values, and genotypes use the same 1,000 row positions."
"Missing genotypes","PASS","0 missing genotype cells."
"Duplicate individuals","PASS","0 duplicate individual genotype profiles."
"Duplicate markers","PASS","0 duplicate marker profiles."
"Monomorphic markers","PASS","0 monomorphic markers."
"F2 genotype proportions","PASS","Observed proportions: 0.25007, 0.49994, 0.24999"
"Minor allele frequency","PASS","MAF range 0.4690 to 0.5000; median 0.4925."
"Parental structure","PASS","Two parents x ten linkage groups, with contrasting fixed marker states."
"Short-to-medium distance LD decay","PASS","Mean r2 at 0.5, 10 and 50 cM: 0.9802, 0.6696, 0.1327 ; interchromosomal mean r2: 0.00102"
